Organism	Domain	Group	Plant Pathogen	Plant Associated	ecology
Myxococcus-xanthus	Bacteria	Myxobacteria	No	No	Saprophyte
Sandaracinus-amylolyticus	Bacteria	Myxobacteria	No	Yes	Saprophyte
Stigmatella-aurantiaca	Bacteria	Myxobacteria	No	Yes	Saprophyte
Stigmatella-erecta	Bacteria	Myxobacteria	No	Yes	Saprophyte
Saprolegnia-diclina	Eukaryota	Stramenopiles	No	Yes	Saprophyte
Saprolegnia-parasitica	Eukaryota	Stramenopiles	No	No	Saprophyte
Thraustotheca-clavata	Eukaryota	Stramenopiles	No	Yes	Saprophyte
Actinomadura-hibisca	Bacteria	Actinobacteria	No	No	Soil
Actinoplanes-awajinensis	Bacteria	Actinobacteria	No	No	Soil
Actinoplanes-derwentensis	Bacteria	Actinobacteria	No	Yes	Soil
Actinoplanes-philippinensis	Bacteria	Actinobacteria	No	Yes	Soil
Actinoplanes-rectilineatus	Bacteria	Actinobacteria	No	Yes	Soil
Actinoplanes-utahensis	Bacteria	Actinobacteria	No	Yes	Soil
Amycolatopsis-balhimycina	Bacteria	Actinobacteria	No	No	Soil
Amycolatopsis-mediterranei	Bacteria	Actinobacteria	No	No	Soil
Amycolatopsis-tolypomycina	Bacteria	Actinobacteria	No	No	Soil
Asanoa-ishikariensis	Bacteria	Actinobacteria	No	No	Soil
Catenulispora-acidiphila	Bacteria	Actinobacteria	No	No	Soil
Catenuloplanes-japonicus	Bacteria	Actinobacteria	No	No	Soil
Cellulomonas-bogoriensis	Bacteria	Actinobacteria	No	No	Soil
Cryptosporangium-aurantiacum	Bacteria	Actinobacteria	No	No	Soil
Dactylosporangium-aurantiacum	Bacteria	Actinobacteria	No	No	Soil
Hamadaea-tsunoensis	Bacteria	Actinobacteria	No	No	Soil
